subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
139,33,male,British,practice_game1,1,1,practice,na,1479,mixed,j,2999,loss,0,0,0,0,0,0,na,na,0,na,na
139,33,male,British,practice_game1,1,2,practice,na,1550,mixed,f,1008,win,0,0,0,0,0,0,na,na,0,na,na
139,33,male,British,practice_game1,1,3,practice,na,859,mixed,j,496,loss,0,0,0,0,0,0,na,na,0,na,na
139,33,male,British,practice_game1,1,4,practice,na,567,mixed,f,815,win,0,0,0,0,0,0,na,na,0,na,na
139,33,male,British,practice_game2,2,1,practice,na,0,na,na,0,na,0,792,0.7,10,0.3,50,LP-HP,f,5376,LP,no-win
139,33,male,British,practice_game2,2,2,practice,na,0,na,na,0,na,0,1138,0.8,20,0.2,30,HP-LP,f,4887,HP,win
139,33,male,British,practice_game2,2,3,practice,na,0,na,na,0,na,0,1344,0.8,50,0.4,20,HP-LP,f,1809,HP,win
139,33,male,British,practice_game2,2,4,practice,na,0,na,na,0,na,0,111,0.8,10,0.2,20,LP-HP,j,1585,HP,win
139,33,male,British,practice_game2,2,5,practice,na,0,na,na,0,na,0,727,0.6,10,0.4,40,HP-LP,j,3776,LP,win
139,33,male,British,exp,3,2,exp,no,1095,mixed,j,1304,win,0,1096,0.7,10,0.3,50,HP-LP,f,2335,HP,win
139,33,male,British,exp,3,4,exp,no,1103,mixed,f,1063,loss,0,584,0.7,20,0.3,30,LP-HP,j,2120,HP,no-win
139,33,male,British,exp,3,6,exp,no,703,mixed,j,1639,win,0,167,0.7,30,0.3,40,LP-HP,j,1528,HP,win
139,33,male,British,exp,3,8,exp,no,1975,mixed,f,1368,loss,0,591,0.6,10,0.4,40,LP-HP,f,1824,LP,win
139,33,male,British,exp,3,10,exp,yes,447,mixed,j,1180,loss,0,655,0.6,30,0.4,50,LP-HP,f,1248,LP,no-win
139,33,male,British,exp,3,12,exp,no,598,mixed,j,936,win,0,584,0.7,20,0.3,30,HP-LP,f,1480,HP,no-win
139,33,male,British,exp,3,14,exp,yes,503,mixed,j,2280,loss,1,487,0.7,20,0.3,30,HP-LP,f,935,HP,no-win
139,33,male,British,exp,3,16,exp,no,561,mixed,f,1022,loss,0,32,0.7,10,0.3,50,HP-LP,f,1191,HP,no-win
139,33,male,British,exp,3,18,exp,yes,384,mixed,f,1383,win,1,879,0.6,20,0.4,50,HP-LP,f,2520,HP,win
139,33,male,British,exp,3,20,exp,no,406,mixed,j,1648,loss,1,472,0.8,10,0.2,20,HP-LP,f,1695,HP,win
139,33,male,British,exp,3,22,exp,no,375,mixed,f,1007,loss,1,560,0.8,10,0.2,20,LP-HP,j,935,HP,win
139,33,male,British,exp,3,24,exp,yes,429,mixed,j,760,win,1,632,0.7,30,0.3,40,HP-LP,f,1144,HP,win
139,33,male,British,exp,3,26,catch,yes,431,mixed,j,855,win,1,616,0.7,10,0.6,50,HP-LP,j,1383,LP,win
139,33,male,British,exp,3,28,exp,no,447,mixed,f,1228,win,0,208,0.6,30,0.4,50,LP-HP,f,1872,LP,no-win
139,33,male,British,exp,3,30,exp,yes,450,mixed,j,1116,win,0,536,0.8,20,0.2,30,LP-HP,j,1154,HP,win
139,33,male,British,exp,3,32,exp,no,406,mixed,j,1224,loss,0,95,0.7,10,0.3,30,HP-LP,f,800,HP,no-win
139,33,male,British,exp,3,34,catch,no,477,mixed,f,904,loss,0,127,0.7,30,0.3,10,HP-LP,f,912,HP,no-win
139,33,male,British,exp,3,36,exp,no,422,mixed,f,1127,win,0,80,0.6,30,0.4,50,HP-LP,f,1736,HP,win
139,33,male,British,exp,3,38,catch,yes,390,mixed,j,920,win,1,735,0.8,10,0.7,50,LP-HP,f,1103,LP,no-win
139,33,male,British,exp,3,40,catch,no,432,mixed,j,751,loss,0,94,0.8,50,0.2,30,LP-HP,j,776,HP,win
139,33,male,British,exp,3,42,exp,yes,382,mixed,j,808,loss,1,455,0.6,20,0.4,50,HP-LP,j,2224,LP,win
139,33,male,British,exp,3,44,exp,yes,391,mixed,j,704,win,1,551,0.7,30,0.3,40,LP-HP,j,1287,HP,win
139,33,male,British,exp,3,46,exp,no,470,mixed,j,1112,loss,0,448,0.6,10,0.4,40,HP-LP,j,2495,LP,no-win
139,33,male,British,exp,3,48,catch,yes,415,mixed,f,879,win,0,776,0.6,10,0.5,50,HP-LP,j,1399,LP,win
139,33,male,British,exp,3,50,exp,yes,542,mixed,j,888,loss,0,552,0.6,40,0.4,50,HP-LP,f,1912,HP,no-win
139,33,male,British,exp,3,52,catch,no,671,mixed,j,807,loss,0,607,0.8,10,0.7,50,LP-HP,f,872,LP,win
139,33,male,British,exp,4,2,exp,yes,599,mixed,j,680,win,0,560,0.6,30,0.4,50,LP-HP,j,1823,HP,no-win
