subject_ID,question_number,factor,resp,rt
89,1,Perseverance,1,10982.799999999814
89,2,Premeditation,1,4814.700000000186
89,3,Positive Urgency,2,10869.900000000373
89,4,Perseverance,1,4209.5
89,5,Premeditation,2,5697.4000000003725
89,6,Negative Urgency,3,8694.300000000745
89,7,Perseverance,1,4551.700000000186
89,8,Negative Urgency,1,9091.299999999814
89,9,Sensation Seeking,4,4496
89,10,Positive Urgency,1,4823
89,11,Perseverance,2,7381.9000000003725
89,12,Premeditation,2,11097.200000000186
89,13,Negative Urgency,2,5227.299999999814
89,14,Sensation Seeking,4,6828.200000000186
89,15,Negative Urgency,1,6792.699999999255
89,16,Sensation Seeking,4,5316.799999999814
89,17,Positive Urgency,2,9910.200000000186
89,18,Sensation Seeking,4,7381.799999999814
89,19,Premeditation,1,4022.9000000003725
89,20,Positive Urgency,1,5508.200000000186
