subject_ID,question_number,factor,resp,rt
209,1,Perseverance,2,4067
209,2,Premeditation,1,1977
209,3,Positive Urgency,3,2401
209,4,Perseverance,1,2414
209,5,Premeditation,2,1969
209,6,Negative Urgency,3,2056
209,7,Perseverance,3,1888
209,8,Negative Urgency,3,1669
209,9,Sensation Seeking,2,2289
209,10,Positive Urgency,2,2844
209,11,Perseverance,2,2049
209,12,Premeditation,3,2077
209,13,Negative Urgency,3,1654
209,14,Sensation Seeking,2,3426
209,15,Negative Urgency,2,1792
209,16,Sensation Seeking,4,1780
209,17,Positive Urgency,3,2309
209,18,Sensation Seeking,3,2080
209,19,Premeditation,2,1726
209,20,Positive Urgency,3,1551
