subject_ID,block_number,trial_number,phase,response_number,key,rt
220,2,4,delay,1,space,241
220,3,3,delay,1,space,55
220,3,7,delay,1,space,399
220,3,11,delay,1,space,912
220,3,13,delay,1,space,287
220,3,17,delay,1,space,227
220,3,19,delay,1,space,74
220,3,19,delay,2,space,294
220,3,19,delay,3,space,1464
220,3,23,delay,1,space,250
220,3,25,delay,1,space,303
220,3,27,delay,1,space,269
220,3,27,delay,2,space,2873
220,3,29,delay,1,space,117
220,3,31,delay,1,space,537
220,3,33,delay,1,space,275
220,3,35,delay,1,space,1819
220,3,37,delay,1,space,7
220,3,39,delay,1,space,61
220,3,39,delay,2,space,225
220,3,39,delay,3,space,411
220,3,39,delay,4,space,1561
220,3,39,delay,5,space,1946
220,3,39,delay,6,space,2546
220,3,43,delay,1,space,128
220,3,43,delay,2,space,458
220,3,43,delay,3,space,763
220,3,43,delay,4,space,983
220,3,43,delay,5,space,1408
220,3,47,delay,1,space,309
220,4,7,delay,1,space,213
220,4,9,delay,1,space,533
220,4,15,delay,1,space,630
220,4,17,delay,1,space,396
220,4,19,delay,1,space,1970
220,4,23,delay,1,space,300
220,4,27,delay,1,space,201
220,4,29,delay,1,space,446
220,4,31,delay,1,space,425
220,4,35,delay,1,space,353
220,4,35,delay,2,space,1453
220,4,35,delay,3,space,1928
220,4,35,delay,4,space,2264
220,4,35,delay,5,space,2644
220,4,39,delay,1,space,343
220,4,51,delay,1,space,128
220,4,51,delay,2,space,298
220,5,5,delay,1,space,304
220,5,7,delay,1,space,300
220,5,9,delay,1,space,384
220,5,9,delay,2,space,779
220,5,9,delay,3,space,1084
220,5,9,delay,4,space,1634
220,5,11,delay,1,space,407
220,5,15,delay,1,space,57
220,5,15,delay,2,space,443
220,5,15,delay,3,space,773
220,5,15,delay,4,space,1083
220,5,15,delay,5,space,1322
220,5,15,delay,6,space,1923
220,5,15,delay,7,space,2568
220,5,15,delay,8,space,2928
220,5,25,delay,1,space,236
220,5,27,delay,1,space,139
220,5,27,delay,2,space,474
220,5,27,delay,3,space,1328
220,5,27,delay,4,space,2518
220,5,29,delay,1,space,330
220,5,29,delay,2,space,1925
220,5,29,delay,3,space,2610
220,5,35,delay,1,space,1571
220,5,41,delay,1,space,396
220,5,43,delay,1,space,923
220,5,45,delay,1,space,413
220,6,1,delay,1,space,1462
220,6,1,delay,2,space,2497
220,6,5,delay,1,space,758
220,6,5,delay,2,j,1308
220,6,5,delay,3,j,1649
220,6,5,delay,4,j,1804
220,6,5,delay,5,j,1968
220,6,5,delay,6,j,2128
220,6,5,delay,7,j,2334
220,6,5,delay,8,j,2518
220,6,5,delay,9,j,2703
220,6,5,delay,10,j,2898
220,6,9,delay,1,space,2624
220,6,15,delay,1,space,2085
220,6,31,delay,1,space,2112
220,6,35,delay,1,space,415
