subject_ID,question_number,factor,resp,rt
75,1,Perseverance,1,5590.29999999702
75,2,Premeditation,2,3830.7999999970198
75,3,Positive Urgency,1,4491.89999999851
75,4,Perseverance,2,4600.80000000447
75,5,Premeditation,2,31311.39999999851
75,6,Negative Urgency,1,14712.79999999702
75,7,Perseverance,1,5354.79999999702
75,8,Negative Urgency,3,5557
75,9,Sensation Seeking,2,3433
75,10,Positive Urgency,2,3787.89999999851
75,11,Perseverance,1,2772.89999999851
75,12,Premeditation,2,3873.7000000029802
75,13,Negative Urgency,2,9872.89999999851
75,14,Sensation Seeking,3,34190.60000000149
75,15,Negative Urgency,1,4429
75,16,Sensation Seeking,4,5834.4000000059605
75,17,Positive Urgency,2,5577.20000000298
75,18,Sensation Seeking,3,6014.60000000149
75,19,Premeditation,2,3204.7000000029802
75,20,Positive Urgency,2,4303.5
