subject_ID,question_number,factor,resp,rt
129,1,Perseverance,1,5653
129,2,Premeditation,1,3722
129,3,Positive Urgency,2,5410
129,4,Perseverance,2,2360
129,5,Premeditation,1,3894
129,6,Negative Urgency,2,4116
129,7,Perseverance,1,2513
129,8,Negative Urgency,2,3481
129,9,Sensation Seeking,3,2175
129,10,Positive Urgency,2,2614
129,11,Perseverance,1,2081
129,12,Premeditation,1,3187
129,13,Negative Urgency,2,4736
129,14,Sensation Seeking,3,4652
129,15,Negative Urgency,2,3100
129,16,Sensation Seeking,4,3348
129,17,Positive Urgency,2,3588
129,18,Sensation Seeking,4,3580
129,19,Premeditation,1,3421
129,20,Positive Urgency,2,4355
