subject_ID,question_number,factor,resp,rt
225,1,Perseverance,1,9110.299999998882
225,2,Premeditation,1,2766.5
225,3,Positive Urgency,4,4494
225,4,Perseverance,1,3181.9000000003725
225,5,Premeditation,2,7022.300000000745
225,6,Negative Urgency,4,2582
225,7,Perseverance,1,9541.799999998882
225,8,Negative Urgency,4,2342.300000000745
225,9,Sensation Seeking,4,1662.5
225,10,Positive Urgency,4,1542.5999999996275
225,11,Perseverance,1,3494.7000000011176
225,12,Premeditation,1,6261.5
225,13,Negative Urgency,3,7374
225,14,Sensation Seeking,4,3574.2999999988824
225,15,Negative Urgency,3,1982.300000000745
225,16,Sensation Seeking,4,9862.599999999627
225,17,Positive Urgency,4,2677.60000000149
225,18,Sensation Seeking,4,5254.60000000149
225,19,Premeditation,1,1414.9000000003725
225,20,Positive Urgency,4,1278.5
