subject_ID,question_number,factor,resp,rt
4,1,Perseverance,1,6082
4,2,Premeditation,2,2623
4,3,Positive Urgency,1,5404
4,4,Perseverance,2,3719
4,5,Premeditation,1,4702
4,6,Negative Urgency,1,5969
4,7,Perseverance,2,4776
4,8,Negative Urgency,1,5727
4,9,Sensation Seeking,3,3292
4,10,Positive Urgency,1,3526
4,11,Perseverance,1,4912
4,12,Premeditation,1,3286
4,13,Negative Urgency,1,3494
4,14,Sensation Seeking,3,4558
4,15,Negative Urgency,1,3465
4,16,Sensation Seeking,3,3375
4,17,Positive Urgency,1,6620
4,18,Sensation Seeking,4,3526
4,19,Premeditation,1,3494
4,20,Positive Urgency,1,3140
