subject_ID,question_number,factor,resp,rt
136,1,Perseverance,1,6585.899999976158
136,2,Premeditation,1,2780.7999999523163
136,3,Positive Urgency,1,4274.900000035763
136,4,Perseverance,1,4304.399999976158
136,5,Premeditation,1,4004
136,6,Negative Urgency,1,5132.5
136,7,Perseverance,1,5572.600000023842
136,8,Negative Urgency,1,7927
136,9,Sensation Seeking,2,5579.299999952316
136,10,Positive Urgency,1,5797.600000023842
136,11,Perseverance,2,3118.300000011921
136,12,Premeditation,1,6232.099999964237
136,13,Negative Urgency,1,3680.5
136,14,Sensation Seeking,3,7427.599999964237
136,15,Negative Urgency,2,4643.400000035763
136,16,Sensation Seeking,1,3487.399999976158
136,17,Positive Urgency,1,3824.600000023842
136,18,Sensation Seeking,2,6867.600000023842
136,19,Premeditation,1,3516.600000023842
136,20,Positive Urgency,1,3454.5
