subject_ID,question_number,factor,resp,rt
207,1,Perseverance,1,8061
207,2,Premeditation,1,3772
207,3,Positive Urgency,1,7150
207,4,Perseverance,1,4653
207,5,Premeditation,1,3181
207,6,Negative Urgency,2,6383
207,7,Perseverance,2,3234
207,8,Negative Urgency,1,7382
207,9,Sensation Seeking,3,5018
207,10,Positive Urgency,1,4296
207,11,Perseverance,1,2725
207,12,Premeditation,1,3230
207,13,Negative Urgency,2,3018
207,14,Sensation Seeking,4,5190
207,15,Negative Urgency,1,3767
207,16,Sensation Seeking,1,9432
207,17,Positive Urgency,1,4470
207,18,Sensation Seeking,3,3982
207,19,Premeditation,1,2749
207,20,Positive Urgency,1,2938
