subject_ID,question_number,factor,resp,rt
53,1,Perseverance,1,4721.300000011921
53,2,Premeditation,1,2581
53,3,Positive Urgency,1,7258.600000023842
53,4,Perseverance,1,3028.300000011921
53,5,Premeditation,1,3767.2999999523163
53,6,Negative Urgency,2,5393
53,7,Perseverance,1,3496.600000023842
53,8,Negative Urgency,2,5099.599999964237
53,9,Sensation Seeking,3,4303.199999988079
53,10,Positive Urgency,1,3594.7000000476837
53,11,Perseverance,1,2731.800000011921
53,12,Premeditation,1,4124.699999988079
53,13,Negative Urgency,1,3675.099999964237
53,14,Sensation Seeking,4,3401.7999999523163
53,15,Negative Urgency,1,3527.300000011921
53,16,Sensation Seeking,4,3562.399999976158
53,17,Positive Urgency,1,4148.899999976158
53,18,Sensation Seeking,4,3342.5
53,19,Premeditation,1,2630.600000023842
53,20,Positive Urgency,1,3689.100000023842
