subject_ID,question_number,factor,resp,rt
107,1,Perseverance,2,10269.800000190735
107,2,Premeditation,2,5244.5
107,3,Positive Urgency,1,9117.099999904633
107,4,Perseverance,2,6027.699999809265
107,5,Premeditation,2,4730.5
107,6,Negative Urgency,2,16483.900000095367
107,7,Perseverance,3,10946.599999904633
107,8,Negative Urgency,3,7720.199999809265
107,9,Sensation Seeking,3,5865.800000190735
107,10,Positive Urgency,2,5801.099999904633
107,11,Perseverance,3,5229.200000286102
107,12,Premeditation,2,9359.599999904633
107,13,Negative Urgency,2,6071.400000095367
107,14,Sensation Seeking,3,8537.699999809265
107,15,Negative Urgency,2,6067.800000190735
107,16,Sensation Seeking,1,6033.099999904633
107,17,Positive Urgency,2,7200.599999904633
107,18,Sensation Seeking,2,7819.89999961853
107,19,Premeditation,1,4674.400000095367
107,20,Positive Urgency,2,11703.599999904633
