subject_ID,question_number,factor,resp,rt
50,1,Perseverance,2,5939.299999952316
50,2,Premeditation,2,2866.100000023842
50,3,Positive Urgency,1,3675.600000023842
50,4,Perseverance,2,2528.6999999284744
50,5,Premeditation,2,2271.6999999284744
50,6,Negative Urgency,2,3369.2999999523163
50,7,Perseverance,3,10296.700000047684
50,8,Negative Urgency,2,5286.700000047684
50,9,Sensation Seeking,1,2531.7999999523163
50,10,Positive Urgency,1,1944.5
50,11,Perseverance,2,2028.5
50,12,Premeditation,2,2529.100000023842
50,13,Negative Urgency,1,2660.899999976158
50,14,Sensation Seeking,2,3138.2999999523163
50,15,Negative Urgency,2,2649.1999999284744
50,16,Sensation Seeking,2,1968
50,17,Positive Urgency,2,9364.199999928474
50,18,Sensation Seeking,2,2051.5
50,19,Premeditation,2,4172.899999976158
50,20,Positive Urgency,1,10158.5
