subject_ID,question_number,factor,resp,rt
30,1,Perseverance,2,6770
30,2,Premeditation,2,2596.600000023842
30,3,Positive Urgency,3,5949.399999976158
30,4,Perseverance,3,3070.7000000476837
30,5,Premeditation,2,3967.5
30,6,Negative Urgency,2,5679.300000071526
30,7,Perseverance,3,4907.899999976158
30,8,Negative Urgency,2,5333.200000047684
30,9,Sensation Seeking,3,3595.600000023842
30,10,Positive Urgency,2,2745.2000000476837
30,11,Perseverance,3,2861.2999999523163
30,12,Premeditation,2,3864.600000023842
30,13,Negative Urgency,2,2183.8000000715256
30,14,Sensation Seeking,3,4081.399999976158
30,15,Negative Urgency,2,3560.2999999523163
30,16,Sensation Seeking,3,4933.799999952316
30,17,Positive Urgency,2,4619.200000047684
30,18,Sensation Seeking,3,6288.900000095367
30,19,Premeditation,2,3585.2000000476837
30,20,Positive Urgency,2,3642.5
