subject_ID,question_number,factor,resp,rt
205,1,Perseverance,1,6513
205,2,Premeditation,1,4948.800000000745
205,3,Positive Urgency,1,6170.699999999255
205,4,Perseverance,1,2952.300000000745
205,5,Premeditation,1,3271.10000000149
205,6,Negative Urgency,1,4366
205,7,Perseverance,1,3664.2999999988824
205,8,Negative Urgency,2,5097.9000000003725
205,9,Sensation Seeking,2,3813.7999999988824
205,10,Positive Urgency,2,3224
205,11,Perseverance,1,2991.89999999851
205,12,Premeditation,1,4737.9000000003725
205,13,Negative Urgency,1,3472.7999999988824
205,14,Sensation Seeking,3,5017.9000000003725
205,15,Negative Urgency,2,3984.199999999255
205,16,Sensation Seeking,3,5538.200000001118
205,17,Positive Urgency,1,5156.299999998882
205,18,Sensation Seeking,2,5149.0999999996275
205,19,Premeditation,1,2960.300000000745
205,20,Positive Urgency,1,2680.0999999996275
