subject_ID,question_number,factor,resp,rt
37,1,Perseverance,3,9339.199999988079
37,2,Premeditation,3,5125.299999982119
37,3,Positive Urgency,1,5263.300000011921
37,4,Perseverance,1,6844.700000017881
37,5,Premeditation,3,6580.700000017881
37,6,Negative Urgency,3,5349.799999982119
37,7,Perseverance,2,3917.5
37,8,Negative Urgency,3,4294.799999982119
37,9,Sensation Seeking,2,4677
37,10,Positive Urgency,1,6005.799999982119
37,11,Perseverance,3,3341.7999999821186
37,12,Premeditation,3,4093.5999999940395
37,13,Negative Urgency,4,4862.399999976158
37,14,Sensation Seeking,3,3772.2000000178814
37,15,Negative Urgency,4,4798.5
37,16,Sensation Seeking,4,4356.4000000059605
37,17,Positive Urgency,3,4031.0999999940395
37,18,Sensation Seeking,2,5269.4000000059605
37,19,Premeditation,3,3206.2000000178814
37,20,Positive Urgency,3,7069.5
