subject_ID,question_number,factor,resp,rt
139,1,Perseverance,2,6468.699999809265
139,2,Premeditation,2,3090.800000190735
139,3,Positive Urgency,3,3978.2000002861023
139,4,Perseverance,1,2482.0999999046326
139,5,Premeditation,2,3897.300000190735
139,6,Negative Urgency,3,9192
139,7,Perseverance,2,3268.5999999046326
139,8,Negative Urgency,3,2577.7000002861023
139,9,Sensation Seeking,3,4913.800000190735
139,10,Positive Urgency,2,3548.9000000953674
139,11,Perseverance,1,2825.5999999046326
139,12,Premeditation,2,1702.6999998092651
139,13,Negative Urgency,2,3638
139,14,Sensation Seeking,3,5037.699999809265
139,15,Negative Urgency,2,3252.9000000953674
139,16,Sensation Seeking,3,8407.699999809265
139,17,Positive Urgency,1,7675.900000095367
139,18,Sensation Seeking,1,4352
139,19,Premeditation,1,2794
139,20,Positive Urgency,2,5462.699999809265
