subject_ID,question_number,factor,resp,rt
11,1,Perseverance,2,8485
11,2,Premeditation,3,3864
11,3,Positive Urgency,2,7409
11,4,Perseverance,3,3753
11,5,Premeditation,3,18054
11,6,Negative Urgency,3,4874
11,7,Perseverance,2,5935
11,8,Negative Urgency,4,8288
11,9,Sensation Seeking,2,3361
11,10,Positive Urgency,2,3862
11,11,Perseverance,3,2347
11,12,Premeditation,2,3959
11,13,Negative Urgency,3,3107
11,14,Sensation Seeking,3,2655
11,15,Negative Urgency,3,3217
11,16,Sensation Seeking,1,4167
11,17,Positive Urgency,2,5910
11,18,Sensation Seeking,1,4058
11,19,Premeditation,3,2935
11,20,Positive Urgency,3,2290
