subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
48,33,female,Polish,practice_game1,1,1,practice,na,1598,mixed,j,5802,win,0,0,0,0,0,0,na,na,0,na,na
48,33,female,Polish,practice_game1,1,2,practice,na,1483,mixed,j,1092,loss,0,0,0,0,0,0,na,na,0,na,na
48,33,female,Polish,practice_game1,1,3,practice,na,5038,mixed,j,1671,loss,0,0,0,0,0,0,na,na,0,na,na
48,33,female,Polish,practice_game1,1,4,practice,na,1112,mixed,f,1431,win,0,0,0,0,0,0,na,na,0,na,na
48,33,female,Polish,practice_game2,2,1,practice,na,0,na,na,0,na,0,2124,0.6,10,0.4,40,LP-HP,j,1746,HP,no-win
48,33,female,Polish,practice_game2,2,2,practice,na,0,na,na,0,na,0,896,0.8,50,0.4,20,HP-LP,f,1619,HP,win
48,33,female,Polish,practice_game2,2,3,practice,na,0,na,na,0,na,0,1413,0.7,10,0.3,50,HP-LP,j,2039,LP,win
48,33,female,Polish,practice_game2,2,4,practice,na,0,na,na,0,na,0,673,0.8,10,0.2,20,LP-HP,j,1179,HP,no-win
48,33,female,Polish,practice_game2,2,5,practice,na,0,na,na,0,na,0,683,0.8,20,0.2,30,HP-LP,f,1798,HP,win
48,33,female,Polish,exp,3,2,exp,yes,2407,mixed,f,3954,loss,0,1093,0.6,40,0.4,50,HP-LP,j,1973,LP,win
48,33,female,Polish,exp,3,4,exp,yes,1244,mixed,f,1090,loss,0,3018,0.6,20,0.4,50,LP-HP,f,2001,LP,win
48,33,female,Polish,exp,3,6,exp,yes,991,mixed,j,1184,win,0,833,0.6,30,0.4,50,LP-HP,j,1496,HP,no-win
48,33,female,Polish,exp,3,8,exp,no,498,mixed,j,797,win,0,461,0.6,30,0.4,50,LP-HP,f,1305,LP,no-win
48,33,female,Polish,exp,3,10,exp,no,489,mixed,j,749,win,0,388,0.6,30,0.4,50,HP-LP,j,1447,LP,win
48,33,female,Polish,exp,3,12,exp,no,518,mixed,j,824,loss,0,452,0.7,30,0.3,40,LP-HP,j,1262,HP,win
48,33,female,Polish,exp,3,14,exp,yes,962,mixed,j,811,win,1,2008,0.8,10,0.2,20,LP-HP,j,1334,HP,win
48,33,female,Polish,exp,3,16,exp,no,505,mixed,j,605,win,0,236,0.8,10,0.2,20,HP-LP,f,1218,HP,win
48,33,female,Polish,exp,3,18,exp,no,618,mixed,j,891,loss,0,350,0.6,20,0.4,50,LP-HP,f,1600,LP,no-win
48,33,female,Polish,exp,3,20,exp,no,341,mixed,j,653,loss,0,138,0.6,40,0.4,50,LP-HP,j,831,HP,no-win
48,33,female,Polish,exp,3,22,exp,yes,358,mixed,j,814,loss,0,494,0.7,10,0.3,30,LP-HP,j,846,HP,no-win
48,33,female,Polish,exp,3,24,exp,no,643,mixed,f,797,loss,0,606,0.6,10,0.4,40,HP-LP,j,1083,LP,no-win
48,33,female,Polish,exp,3,26,exp,no,935,mixed,j,345,loss,0,119,0.8,20,0.2,30,HP-LP,f,869,HP,no-win
48,33,female,Polish,exp,3,28,exp,no,957,mixed,j,340,win,0,31,0.7,20,0.3,30,LP-HP,j,1009,HP,win
48,33,female,Polish,exp,3,30,catch,yes,335,mixed,j,703,loss,2,367,0.6,10,0.5,50,LP-HP,f,922,LP,no-win
48,33,female,Polish,exp,3,32,exp,yes,519,mixed,j,798,loss,1,425,0.7,20,0.3,30,HP-LP,f,945,HP,no-win
48,33,female,Polish,exp,3,34,catch,yes,449,mixed,j,549,win,1,316,0.8,10,0.7,50,LP-HP,f,1108,LP,no-win
48,33,female,Polish,exp,3,36,exp,no,754,mixed,j,750,win,0,447,0.7,10,0.3,30,LP-HP,j,1408,HP,win
48,33,female,Polish,exp,3,38,catch,yes,1472,mixed,j,1589,loss,1,760,0.8,40,0.2,20,LP-HP,j,876,HP,no-win
