subject_ID,question_number,factor,resp,rt
119,1,Perseverance,1,18889.5
119,2,Premeditation,2,2645.5999999046326
119,3,Positive Urgency,1,6009.299999713898
119,4,Perseverance,2,3112.5
119,5,Premeditation,1,11954.599999904633
119,6,Negative Urgency,2,5643.700000286102
119,7,Perseverance,2,3602
119,8,Negative Urgency,1,5091.39999961853
119,9,Sensation Seeking,2,4576.89999961853
119,10,Positive Urgency,1,4247.300000190735
119,11,Perseverance,2,21520.300000190735
119,12,Premeditation,1,4471.400000095367
119,13,Negative Urgency,1,5982.5
119,14,Sensation Seeking,2,11738.599999904633
119,15,Negative Urgency,2,3557.9000000953674
119,16,Sensation Seeking,4,5229.799999713898
119,17,Positive Urgency,1,4125.199999809265
119,18,Sensation Seeking,4,3295.7000002861023
119,19,Premeditation,1,4207.5
119,20,Positive Urgency,1,2820.7999997138977
