subject_ID,block_number,trial_number,phase,response_number,key,rt
134,3,11,delay,1,space,785
134,3,17,delay,1,space,563
134,3,19,delay,1,space,293
134,3,21,delay,1,space,447
134,3,33,delay,1,space,487
134,3,41,delay,1,space,110
134,3,43,delay,1,space,241
134,3,45,delay,1,space,258
134,3,49,delay,1,space,242
134,4,1,delay,1,space,478
134,4,3,delay,1,space,402
134,4,7,delay,1,space,28
134,4,11,delay,1,space,445
134,4,17,delay,1,space,203
134,4,23,delay,1,space,2654
134,4,25,delay,1,space,391
134,4,29,delay,1,space,279
134,4,31,delay,1,space,290
134,4,31,delay,2,space,2374
134,4,33,delay,1,space,476
134,4,37,delay,1,space,405
134,4,41,delay,1,space,291
134,5,3,delay,1,space,351
134,5,5,delay,1,space,247
134,5,9,delay,1,space,358
134,5,13,delay,1,space,292
134,5,15,delay,1,space,185
134,5,17,delay,1,space,1500
134,5,19,delay,1,space,273
134,5,19,delay,2,space,2516
134,5,21,delay,1,space,231
134,5,25,delay,1,space,372
134,5,27,delay,1,space,259
134,5,29,delay,1,space,1518
134,5,37,delay,1,space,147
134,5,37,delay,2,space,2054
134,5,49,delay,1,space,861
134,6,17,delay,1,space,974
134,6,19,delay,1,space,2374
