subject_ID,question_number,factor,resp,rt
127,1,Perseverance,1,3869.300000011921
127,2,Premeditation,2,3437.2000000178814
127,3,Positive Urgency,2,5894
127,4,Perseverance,2,3405
127,5,Premeditation,2,2469
127,6,Negative Urgency,1,6293.199999988079
127,7,Perseverance,2,3469.4000000059605
127,8,Negative Urgency,1,4212.899999976158
127,9,Sensation Seeking,2,2949.300000011921
127,10,Positive Urgency,1,2877.100000023842
127,11,Perseverance,2,1933.1000000238419
127,12,Premeditation,1,3181.300000011921
127,13,Negative Urgency,1,2412.800000011921
127,14,Sensation Seeking,3,4014.399999976158
127,15,Negative Urgency,2,3100.0999999940395
127,16,Sensation Seeking,3,2685.699999988079
127,17,Positive Urgency,1,5037.4000000059605
127,18,Sensation Seeking,2,2525.4000000059605
127,19,Premeditation,1,2860.9000000059605
127,20,Positive Urgency,1,2477.2000000178814
