subject_ID,block_number,trial_number,phase,response_number,key,rt
236,3,1,delay,1,space,291
236,3,19,delay,1,space,1074
236,3,23,delay,1,space,871
236,3,33,delay,1,space,264
236,3,45,delay,1,space,592
236,3,47,delay,1,space,566
236,4,9,delay,1,space,673
236,4,11,delay,1,space,251
236,4,19,delay,1,space,685
236,4,21,delay,1,space,782
236,4,29,delay,1,space,2287
236,4,33,delay,1,space,786
236,4,43,delay,1,space,1051
236,4,47,delay,1,space,713
236,5,15,delay,1,space,556
236,5,29,delay,1,space,991
236,5,29,delay,2,space,1951
236,5,33,delay,1,space,431
236,6,13,delay,1,space,1650
236,6,31,delay,1,space,418
236,6,31,delay,2,space,1137
236,6,43,delay,1,space,1066
