subject_ID,block_number,trial_number,phase,response_number,key,rt
74,2,2,delay,1,space,646
74,3,19,delay,1,space,526
74,3,25,delay,1,space,831
74,3,39,delay,1,space,926
74,3,43,delay,1,space,688
74,3,45,delay,1,space,494
74,4,15,delay,1,space,510
74,4,19,delay,1,space,1304
74,4,21,delay,1,space,511
74,4,29,delay,1,space,1465
74,4,39,delay,1,space,479
74,4,43,delay,1,space,516
74,4,49,delay,1,space,70
74,5,1,delay,1,space,688
74,5,5,delay,1,space,680
74,5,19,delay,1,space,559
74,5,43,delay,1,space,514
74,6,3,delay,1,space,45
74,6,3,delay,2,space,464
74,6,7,delay,1,space,433
74,6,7,delay,2,space,2667
74,6,11,delay,1,space,512
74,6,21,delay,1,space,1114
74,6,23,delay,1,space,471
74,6,29,delay,1,space,644
74,6,31,delay,1,space,473
74,6,33,delay,1,space,421
74,6,35,delay,1,space,409
