subject_ID,block_number,trial_number,phase,response_number,key,rt
8,3,15,delay,1,space,388
8,3,17,delay,1,space,547
8,3,27,delay,1,space,2139
8,3,41,delay,1,space,2025
8,4,9,delay,1,space,832
8,4,17,delay,1,space,1838
8,4,27,delay,1,space,341
8,4,27,delay,2,space,2947
8,4,37,delay,1,space,692
8,4,39,delay,1,space,278
8,4,43,delay,1,space,795
8,4,47,delay,1,space,371
8,4,47,delay,2,space,2984
8,4,49,delay,1,space,807
8,4,49,delay,2,space,1868
8,5,43,delay,1,space,2795
8,6,5,delay,1,space,340
8,6,9,delay,1,space,857
8,6,13,delay,1,space,1244
8,6,31,delay,1,space,397
8,6,43,delay,1,space,2826
