subject_ID,question_number,factor,resp,rt
18,1,Perseverance,1,7046.5
18,2,Premeditation,1,2947
18,3,Positive Urgency,1,4721.699999999255
18,4,Perseverance,1,2261.5999999996275
18,5,Premeditation,1,2631.5
18,6,Negative Urgency,1,4857.699999999255
18,7,Perseverance,1,2573.4000000003725
18,8,Negative Urgency,2,5927.5
18,9,Sensation Seeking,1,2563.9000000003725
18,10,Positive Urgency,1,3487
18,11,Perseverance,1,1971.5999999996275
18,12,Premeditation,1,4617.5
18,13,Negative Urgency,3,17965.300000000745
18,14,Sensation Seeking,3,11449.400000000373
18,15,Negative Urgency,3,3647.800000000745
18,16,Sensation Seeking,4,2635.300000000745
18,17,Positive Urgency,1,6047.5
18,18,Sensation Seeking,2,4961.700000001118
18,19,Premeditation,1,3343.5999999996275
18,20,Positive Urgency,1,3301.5
