subject_ID,question_number,factor,resp,rt
3,1,Perseverance,1,7228
3,2,Premeditation,1,3380
3,3,Positive Urgency,1,31226
3,4,Perseverance,1,4018
3,5,Premeditation,1,3099
3,6,Negative Urgency,1,11651
3,7,Perseverance,3,10890
3,8,Negative Urgency,1,25347
3,9,Sensation Seeking,1,4258
3,10,Positive Urgency,1,4907
3,11,Perseverance,1,7043
3,12,Premeditation,1,4100
3,13,Negative Urgency,1,10228
3,14,Sensation Seeking,3,6404
3,15,Negative Urgency,3,9109
3,16,Sensation Seeking,2,12300
3,17,Positive Urgency,1,13852
3,18,Sensation Seeking,3,5596
3,19,Premeditation,1,3153
3,20,Positive Urgency,2,12628
