subject_ID,question_number,factor,resp,rt
17,1,Perseverance,2,3472.399999976158
17,2,Premeditation,1,2915.399999976158
17,3,Positive Urgency,3,1797.3999999761581
17,4,Perseverance,2,1483.9000000357628
17,5,Premeditation,3,970.6000000238419
17,6,Negative Urgency,2,946.7000000476837
17,7,Perseverance,1,1066.5
17,8,Negative Urgency,2,1669
17,9,Sensation Seeking,2,1190.800000011921
17,10,Positive Urgency,1,1132.5
17,11,Perseverance,2,1352
17,12,Premeditation,1,929.1999999880791
17,13,Negative Urgency,2,1090.6000000238419
17,14,Sensation Seeking,3,1373.300000011921
17,15,Negative Urgency,2,966
17,16,Sensation Seeking,4,1561
17,17,Positive Urgency,3,897.5
17,18,Sensation Seeking,3,932.4000000357628
17,19,Premeditation,3,1069.5
17,20,Positive Urgency,3,2501.899999976158
