subject_ID,question_number,factor,resp,rt
71,1,Perseverance,1,4548.599999997765
71,2,Premeditation,1,1377.1000000014901
71,3,Positive Urgency,3,1392.699999999255
71,4,Perseverance,1,1280.7000000029802
71,5,Premeditation,3,966.8999999985099
71,6,Negative Urgency,3,1182
71,7,Perseverance,2,1036.800000000745
71,8,Negative Urgency,3,981.9000000022352
71,9,Sensation Seeking,4,713.3999999985099
71,10,Positive Urgency,3,626.6000000014901
71,11,Perseverance,3,841.8000000007451
71,12,Premeditation,2,819.0999999977648
71,13,Negative Urgency,4,679.6999999992549
71,14,Sensation Seeking,3,1134.5999999977648
71,15,Negative Urgency,2,3565.10000000149
71,16,Sensation Seeking,3,1477.1000000014901
71,17,Positive Urgency,3,1712.8999999985099
71,18,Sensation Seeking,2,730.7000000029802
71,19,Premeditation,1,850.8999999985099
71,20,Positive Urgency,3,753.3999999985099
