subject_ID,question_number,factor,resp,rt
38,1,Perseverance,2,7288
38,2,Premeditation,3,3421
38,3,Positive Urgency,3,7678
38,4,Perseverance,2,6361
38,5,Premeditation,3,6398
38,6,Negative Urgency,3,6022
38,7,Perseverance,2,5367
38,8,Negative Urgency,3,7702
38,9,Sensation Seeking,2,4032
38,10,Positive Urgency,2,4242
38,11,Perseverance,3,2298
38,12,Premeditation,2,6336
38,13,Negative Urgency,3,3614
38,14,Sensation Seeking,4,5385
38,15,Negative Urgency,4,5774
38,16,Sensation Seeking,3,3229
38,17,Positive Urgency,3,4625
38,18,Sensation Seeking,3,3973
38,19,Premeditation,2,4258
38,20,Positive Urgency,4,3362
