subject_ID,block_number,trial_number,phase,response_number,key,rt
116,2,4,delay,1,space,1121
116,3,3,delay,1,space,103
116,3,3,delay,2,space,1750
116,3,17,delay,1,space,1501
116,3,29,delay,1,space,438
116,3,29,delay,2,space,2073
116,3,33,delay,1,space,444
116,3,35,delay,1,space,2678
116,3,41,delay,1,space,415
116,3,45,delay,1,space,86
116,4,7,delay,1,space,431
116,4,15,delay,1,space,477
116,4,15,delay,2,space,2570
116,4,17,delay,1,space,426
116,4,19,delay,1,space,469
116,4,21,delay,1,space,408
116,4,21,delay,2,space,2434
116,4,23,delay,1,space,103
116,4,23,delay,2,space,464
116,4,23,delay,3,f,1314
116,4,27,delay,1,space,467
