subject_ID,question_number,factor,resp,rt
236,1,Perseverance,1,11319.5
236,2,Premeditation,2,6847
236,3,Positive Urgency,4,12280.899999976158
236,4,Perseverance,1,4486.200000047684
236,5,Premeditation,2,5559.799999952316
236,6,Negative Urgency,3,10049.600000023842
236,7,Perseverance,2,7005.300000071526
236,8,Negative Urgency,2,10794
236,9,Sensation Seeking,4,5936.5
236,10,Positive Urgency,2,5853.600000023842
236,11,Perseverance,2,4435.299999952316
236,12,Premeditation,1,7601.200000047684
236,13,Negative Urgency,3,3713.600000023842
236,14,Sensation Seeking,3,10479.600000023842
236,15,Negative Urgency,3,5698.400000095367
236,16,Sensation Seeking,2,10475.899999976158
236,17,Positive Urgency,2,12555.100000023842
236,18,Sensation Seeking,3,17880.800000071526
236,19,Premeditation,2,3676.2999999523163
236,20,Positive Urgency,3,4678
