subject_ID,question_number,factor,resp,rt
27,1,Perseverance,1,4726
27,2,Premeditation,1,2923
27,3,Positive Urgency,1,4172
27,4,Perseverance,1,3572
27,5,Premeditation,1,3193
27,6,Negative Urgency,1,3841
27,7,Perseverance,2,3900
27,8,Negative Urgency,1,3824
27,9,Sensation Seeking,1,3183
27,10,Positive Urgency,1,3325
27,11,Perseverance,1,2772
27,12,Premeditation,1,4177
27,13,Negative Urgency,1,3440
27,14,Sensation Seeking,1,3956
27,15,Negative Urgency,1,3497
27,16,Sensation Seeking,1,3047
27,17,Positive Urgency,1,3442
27,18,Sensation Seeking,1,3391
27,19,Premeditation,1,3335
27,20,Positive Urgency,1,2963
