subject_ID,question_number,factor,resp,rt
233,1,Perseverance,1,6843.5
233,2,Premeditation,1,3193.399999976158
233,3,Positive Urgency,1,4929.899999976158
233,4,Perseverance,1,2697.5
233,5,Premeditation,1,3461.5
233,6,Negative Urgency,1,9433.5
233,7,Perseverance,1,3977.599999964237
233,8,Negative Urgency,3,6333.800000011921
233,9,Sensation Seeking,3,4037.599999964237
233,10,Positive Urgency,1,4929.699999988079
233,11,Perseverance,2,2601.599999964237
233,12,Premeditation,1,3681.699999988079
233,13,Negative Urgency,1,3657.300000011921
233,14,Sensation Seeking,4,5177.800000011921
233,15,Negative Urgency,3,6357.699999988079
233,16,Sensation Seeking,4,2513
233,17,Positive Urgency,1,5713.600000023842
233,18,Sensation Seeking,4,3197.600000023842
233,19,Premeditation,1,3922.5
233,20,Positive Urgency,1,3016.899999976158
