subject_ID,question_number,factor,resp,rt
13,1,Perseverance,2,5301.799999999814
13,2,Premeditation,1,2486.4000000003725
13,3,Positive Urgency,2,5650
13,4,Perseverance,2,5961.200000000186
13,5,Premeditation,1,4202.5
13,6,Negative Urgency,3,4664.699999999721
13,7,Perseverance,2,4997.799999999814
13,8,Negative Urgency,2,3780.8000000002794
13,9,Sensation Seeking,3,3030.9000000003725
13,10,Positive Urgency,2,3181.8000000002794
13,11,Perseverance,2,3646.8000000002794
13,12,Premeditation,1,3724.1999999997206
13,13,Negative Urgency,1,2272.600000000093
13,14,Sensation Seeking,3,5701
13,15,Negative Urgency,2,3651
13,16,Sensation Seeking,1,3537
13,17,Positive Urgency,2,4813.100000000093
13,18,Sensation Seeking,3,3694.2999999998137
13,19,Premeditation,1,2678.2999999998137
13,20,Positive Urgency,3,3041.100000000093
