subject_ID,block_number,trial_number,phase,response_number,key,rt
137,3,29,delay,1,space,287
137,4,49,delay,1,space,258
137,4,49,delay,2,space,1446
137,5,15,delay,1,space,261
137,5,17,delay,1,space,10
137,5,25,delay,1,space,1104
137,5,29,delay,1,space,391
137,5,39,delay,1,space,1754
137,5,41,delay,1,space,467
137,5,45,delay,1,space,273
137,5,47,delay,1,space,252
137,6,3,delay,1,space,1158
137,6,11,delay,1,space,1466
137,6,13,delay,1,space,1091
137,6,15,delay,1,space,1687
137,6,29,delay,1,space,2291
137,6,33,delay,1,space,1928
137,6,35,delay,1,space,791
