parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,sim
Intercept,1.7603704405,0.1525158182819483,1.46182775,2.06103275,1.000829543366371,2433.8841569327988,4416.077763762022,84
EV_ratio,2.313796497,0.16673099272605488,1.9906697500000001,2.64286175,1.0006783676137172,6162.688284925862,11069.822804456147,84
game1_outcome_num,-0.0061088954938575,0.07949427379334335,-0.16086355,0.1528739749999994,0.9999771106433605,25060.25010494456,15445.753433397413,84
delay_num,0.0127875793282305,0.08663820671703966,-0.15345542499999995,0.18484352499999934,1.0001342129215207,21358.176240799694,16755.39885661979,84
EV_ratio:game1_outcome_num,0.275877831614785,0.1392511004479273,0.0033578432500000806,0.5490809499999997,0.9999256064891899,25532.686686159504,16242.04861843426,84
EV_ratio:delay_num,0.386274606659855,0.14872427069930075,0.09714516000000004,0.6818658749999998,1.0002999796921057,20771.20983462903,15348.860571441326,84
game1_outcome_num:delay_num,-0.132004791245706,0.16144795275568535,-0.45093192499999996,0.17853377499999964,1.000342960223098,22044.78428044214,16224.69884948973,84
EV_ratio:game1_outcome_num:delay_num,0.7624939664693,0.2783352874481388,0.21211050000000015,1.3031329999999994,1.0000286036628458,23587.650232783268,16462.10803613492,84
