parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,sim
Intercept,1.656721185,0.12478028150240071,1.4162147500000002,1.9057562499999994,1.001462234930086,2843.4518328921595,5107.781296521924,98
EV_ratio,1.9632890445,0.14329897666364425,1.6855765,2.245082999999999,1.0002548863443639,7242.128649085816,10939.195928172392,98
game1_outcome_num,-0.20134188308645,0.07448844529315125,-0.3458697999999999,-0.050808572500000024,1.0001083555105172,25584.95129219142,15016.13300213735,98
delay_num,0.20555536451851,0.0779669708797891,0.05559625500000002,0.36058057499999996,1.0001568542906585,21294.573271364377,15519.814931015668,98
EV_ratio:game1_outcome_num,0.2054176669954,0.1293695000385213,-0.0467197374999999,0.46258042499999996,1.0001971889335997,26618.07185453917,16178.130599686867,98
EV_ratio:delay_num,0.71831143845,0.13829130492914535,0.45029997499999996,0.992228425,1.0001782521497198,22994.753062750973,15950.305711587898,98
game1_outcome_num:delay_num,-0.106075798224725,0.14836831712589227,-0.39673065,0.18662054999999986,1.0000455242072979,26467.58243929554,16484.71492630664,98
EV_ratio:game1_outcome_num:delay_num,-0.5094430117420184,0.24885110002191219,-0.99850905,-0.021644582500001522,1.0001004717298738,28697.285626863446,16203.093473193772,98
