parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,sim
Intercept,1.548541683,0.12386879569461734,1.31239375,1.7941529999999997,1.0010498286755063,3717.7717187831063,7108.303723566207,76
EV_ratio,2.5835668905,0.212932058472303,2.1637285000000004,3.002642,1.0001820041395078,6188.5685714125275,10227.742998275866,76
game1_outcome_num,0.0426864066894895,0.07835427363497502,-0.10912589999999998,0.19625837499999974,1.0003302317863565,29759.478184767897,14657.112053461307,76
delay_num,0.25553541810935,0.08398903359397354,0.0945137525,0.4225548499999999,1.0001867846695889,21866.083881036033,15920.791891882627,76
EV_ratio:game1_outcome_num,-0.0363987030275245,0.15113963202277308,-0.33254612499999997,0.2629331999999999,0.9998708132714994,24639.688298116802,15943.969156614803,76
EV_ratio:delay_num,0.5027683940365,0.144793614582975,0.21729767500000002,0.7870779999999998,0.9999607782874068,26551.94641055023,15609.049405649792,76
game1_outcome_num:delay_num,-0.53471942363075,0.16574531853625354,-0.8659138,-0.21488002500000034,1.0005402950878726,21558.535394814524,14061.579819719322,76
EV_ratio:game1_outcome_num:delay_num,-0.1698971652800165,0.2903592700230992,-0.7398198499999998,0.4009813499999999,1.0001465298995194,23405.315515370006,16179.168399816348,76
