subject_ID,block_number,trial_number,phase,response_number,key,rt
54,2,2,delay,1,space,617
54,3,11,delay,1,space,324
54,3,23,delay,1,space,297
54,3,33,delay,1,space,291
54,4,13,delay,1,space,272
54,4,15,delay,1,space,316
54,4,27,delay,1,space,271
54,4,37,delay,1,space,220
54,4,39,delay,1,space,272
54,4,41,delay,1,space,294
54,4,49,delay,1,space,238
54,5,1,delay,1,space,273
54,5,5,delay,1,space,306
54,5,7,delay,1,space,261
54,5,11,delay,1,space,275
54,5,17,delay,1,space,269
54,5,27,delay,1,space,27
54,5,33,delay,1,space,259
54,5,39,delay,1,space,283
54,6,1,delay,1,space,266
54,6,3,delay,1,space,227
54,6,11,delay,1,space,16
54,6,13,delay,1,space,311
54,6,27,delay,1,space,216
54,6,29,delay,1,space,301
54,6,35,delay,1,space,267
54,6,37,delay,1,space,267
54,6,41,delay,1,space,313
54,6,47,delay,1,space,243
54,6,49,delay,1,space,275
