subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
4,53,female,british,practice_game1,1,1,practice,na,2004,mixed,j,1719,win,0,0,0,0,0,0,na,na,0,na,na
4,53,female,british,practice_game1,1,2,practice,na,1193,mixed,j,1728,loss,0,0,0,0,0,0,na,na,0,na,na
4,53,female,british,practice_game1,1,3,practice,na,990,mixed,j,1104,loss,0,0,0,0,0,0,na,na,0,na,na
4,53,female,british,practice_game1,1,4,practice,na,902,mixed,j,631,win,0,0,0,0,0,0,na,na,0,na,na
4,53,female,british,practice_game2,2,1,practice,na,0,na,na,0,na,0,1197,0.8,50,0.4,20,LP-HP,j,1799,HP,no-win
4,53,female,british,practice_game2,2,2,practice,na,0,na,na,0,na,0,1869,0.6,10,0.4,40,HP-LP,f,2471,HP,no-win
4,53,female,british,practice_game2,2,3,practice,na,0,na,na,0,na,0,803,0.8,20,0.2,30,HP-LP,f,1431,HP,win
4,53,female,british,practice_game2,2,4,practice,na,0,na,na,0,na,0,2992,0.8,10,0.2,20,LP-HP,j,2039,HP,no-win
4,53,female,british,practice_game2,2,5,practice,na,0,na,na,0,na,0,861,0.7,10,0.3,50,HP-LP,f,1271,HP,win
4,53,female,british,exp,3,2,exp,no,2966,mixed,f,2439,win,0,1012,0.6,40,0.4,50,HP-LP,f,2671,HP,win
4,53,female,british,exp,3,4,exp,no,993,mixed,f,2967,loss,0,1369,0.6,30,0.4,50,HP-LP,f,1751,HP,no-win
4,53,female,british,exp,3,6,exp,no,748,mixed,j,1216,loss,0,904,0.7,10,0.3,30,HP-LP,f,1008,HP,win
4,53,female,british,exp,3,8,exp,yes,922,mixed,j,1496,win,1,556,0.6,30,0.4,50,HP-LP,f,1647,HP,win
4,53,female,british,exp,3,10,exp,yes,1298,mixed,f,1255,loss,0,501,0.7,10,0.3,30,HP-LP,f,903,HP,no-win
4,53,female,british,exp,3,12,catch,no,602,mixed,f,1440,loss,0,663,0.6,10,0.5,50,LP-HP,f,1808,LP,win
4,53,female,british,exp,3,14,exp,yes,913,mixed,j,1527,loss,1,485,0.8,10,0.2,20,HP-LP,f,895,HP,no-win
4,53,female,british,exp,3,16,exp,no,1051,mixed,j,983,win,0,954,0.7,10,0.3,50,LP-HP,j,1551,HP,no-win
4,53,female,british,exp,3,18,exp,yes,810,mixed,j,1040,loss,1,444,0.6,10,0.4,40,LP-HP,j,1103,HP,no-win
4,53,female,british,exp,3,20,exp,yes,1199,mixed,f,943,loss,0,416,0.7,10,0.3,50,LP-HP,j,2615,HP,win
4,53,female,british,exp,3,22,exp,yes,1235,mixed,f,1263,win,0,579,0.6,20,0.4,50,LP-HP,f,2119,LP,win
4,53,female,british,exp,3,24,exp,yes,983,mixed,f,2831,loss,0,516,0.8,10,0.2,20,LP-HP,j,1391,HP,win
4,53,female,british,exp,3,26,exp,yes,763,mixed,j,1095,win,0,524,0.7,20,0.3,30,LP-HP,j,1519,HP,win
4,53,female,british,exp,3,28,catch,no,995,mixed,f,1815,loss,0,1030,0.8,10,0.7,50,LP-HP,f,2023,LP,win
4,53,female,british,exp,3,30,catch,no,714,mixed,j,1111,loss,0,779,0.7,10,0.6,50,HP-LP,j,3023,LP,win
4,53,female,british,exp,3,32,catch,no,817,mixed,f,1239,loss,0,501,0.7,30,0.3,10,LP-HP,j,1367,HP,win
4,53,female,british,exp,3,34,exp,no,579,mixed,j,1680,loss,0,545,0.6,10,0.4,40,HP-LP,f,1176,HP,win
4,53,female,british,exp,3,36,exp,no,717,mixed,j,591,loss,0,623,0.6,30,0.4,50,LP-HP,j,1359,HP,win
4,53,female,british,exp,3,38,exp,no,648,mixed,j,799,loss,0,548,0.7,10,0.3,30,LP-HP,j,1431,HP,win
4,53,female,british,exp,3,40,exp,no,721,mixed,f,647,loss,0,1153,0.8,10,0.2,20,LP-HP,j,983,HP,win
4,53,female,british,exp,3,42,catch,no,1130,mixed,f,848,loss,0,570,0.8,10,0.7,50,HP-LP,j,1639,LP,win
4,53,female,british,exp,3,44,exp,yes,504,mixed,f,1919,loss,1,424,0.7,30,0.3,40,HP-LP,f,1199,HP,no-win
4,53,female,british,exp,3,46,exp,no,653,mixed,j,1032,win,0,815,0.8,20,0.2,30,HP-LP,f,896,HP,no-win
4,53,female,british,exp,3,48,exp,yes,612,mixed,j,1111,win,0,644,0.6,40,0.4,50,HP-LP,f,1423,HP,no-win
4,53,female,british,exp,3,50,exp,no,1135,mixed,j,1079,loss,0,843,0.6,10,0.4,40,LP-HP,f,1623,LP,no-win
4,53,female,british,exp,3,52,catch,no,741,mixed,j,1152,win,0,1039,0.7,10,0.6,50,LP-HP,f,2271,LP,win
4,53,female,british,exp,4,2,exp,no,2190,mixed,j,1687,loss,0,909,0.6,40,0.4,50,HP-LP,f,2015,HP,no-win
4,53,female,british,exp,4,4,exp,yes,583,mixed,j,1776,loss,0,382,0.6,40,0.4,50,HP-LP,f,1831,HP,win
4,53,female,british,exp,4,6,exp,no,550,mixed,j,1664,loss,0,635,0.6,20,0.4,50,LP-HP,j,3535,HP,no-win
4,53,female,british,exp,4,8,exp,no,509,mixed,f,1327,win,0,637,0.6,30,0.4,50,HP-LP,f,2047,HP,win
4,53,female,british,exp,4,10,exp,no,578,mixed,f,1615,win,0,901,0.6,10,0.4,40,LP-HP,j,4215,HP,no-win
4,53,female,british,exp,4,12,exp,no,669,mixed,f,1559,win,0,851,0.6,20,0.4,50,HP-LP,f,1823,HP,no-win
4,53,female,british,exp,4,14,exp,no,575,mixed,f,1328,loss,0,531,0.8,20,0.2,30,LP-HP,j,1775,HP,no-win
4,53,female,british,exp,4,16,exp,no,536,mixed,j,1783,win,0,1037,0.7,10,0.3,30,LP-HP,j,1872,HP,win
