parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,sim
Intercept,1.688980752,0.12345397169488254,1.4509595,1.93322025,1.0008347909918964,3243.1479684823403,6002.171161441735,99
EV_ratio,2.474334907,0.1837463353788848,2.11406175,2.8325247499999997,1.0004867149057237,5567.22678767076,10810.10968441675,99
game1_outcome_num,-0.103611424608795,0.0806193039271816,-0.258845525,0.05811626499999962,1.0001011058217428,21900.77947162152,13725.596640123877,99
delay_num,0.22522941600975,0.08380969846077377,0.05963198,0.39009515,0.9999335892901718,24175.20212584234,16220.193374798171,99
EV_ratio:game1_outcome_num,0.20784711492042,0.14414116881856762,-0.07550193249999998,0.49332074999999975,1.0000194294940432,27011.690571152983,16371.268114583705,99
EV_ratio:delay_num,0.665911169935,0.14993549976684287,0.3693567750000001,0.96224225,1.0007737748279868,27982.98158218321,16578.69199927156,99
game1_outcome_num:delay_num,-0.299369841337267,0.1572949806453973,-0.6078045749999998,0.005774903499999937,1.0002249933583467,25993.34346441222,15633.513371328076,99
EV_ratio:game1_outcome_num:delay_num,0.040450108353437,0.2831826240695909,-0.5119891,0.5873894749999996,1.0000770697845798,27393.570375481726,16139.425480458234,99
