subject_ID,block_number,trial_number,phase,response_number,key,rt
1,3,1,delay,1,space,486
1,3,5,delay,1,f,675
1,3,5,delay,2,space,1122
1,3,9,delay,1,space,475
1,3,21,delay,1,space,404
1,3,25,delay,1,space,401
1,3,43,delay,1,space,1
1,3,45,delay,1,space,424
1,4,15,delay,1,space,272
1,4,15,delay,2,space,802
1,4,19,delay,1,space,345
1,4,25,delay,1,space,272
1,4,25,delay,2,space,763
1,4,27,delay,1,space,337
1,4,27,delay,2,space,2403
1,4,29,delay,1,space,331
1,4,29,delay,2,space,2670
1,4,31,delay,1,space,1662
1,4,39,delay,1,space,1539
1,4,39,delay,2,space,1975
1,4,39,delay,3,space,2905
1,4,43,delay,1,space,359
1,4,43,delay,2,space,1376
1,4,43,delay,3,space,2216
1,4,43,delay,4,space,2807
1,5,3,delay,1,space,684
1,5,3,delay,2,space,1316
1,5,7,delay,1,space,612
1,5,9,delay,1,space,543
1,5,9,delay,2,space,1075
1,5,9,delay,3,space,1796
1,5,17,delay,1,space,354
1,5,25,delay,1,space,1032
1,5,25,delay,2,space,2612
1,5,33,delay,1,space,374
1,6,3,delay,1,space,589
1,6,3,delay,2,space,1537
1,6,7,delay,1,space,1334
1,6,7,delay,2,space,2418
1,6,23,delay,1,space,1078
1,6,25,delay,1,space,441
1,6,35,delay,1,space,367
1,6,41,delay,1,space,365
1,6,45,delay,1,space,402
