subject_ID,question_number,factor,resp,rt
28,1,Perseverance,1,5956
28,2,Premeditation,1,9163
28,3,Positive Urgency,1,8590
28,4,Perseverance,1,4457
28,5,Premeditation,1,4048
28,6,Negative Urgency,1,6072
28,7,Perseverance,2,7574
28,8,Negative Urgency,2,10008
28,9,Sensation Seeking,1,3975
28,10,Positive Urgency,1,3617
28,11,Perseverance,2,9108
28,12,Premeditation,2,7311
28,13,Negative Urgency,2,9579
28,14,Sensation Seeking,2,5697
28,15,Negative Urgency,1,7968
28,16,Sensation Seeking,2,3846
28,17,Positive Urgency,1,4784
28,18,Sensation Seeking,2,4098
28,19,Premeditation,2,4491
28,20,Positive Urgency,1,4383
