subject_ID,question_number,factor,resp,rt
35,1,Perseverance,3,6441.20000000298
35,2,Premeditation,1,3990.70000000298
35,3,Positive Urgency,2,4039
35,4,Perseverance,3,3935
35,5,Premeditation,1,3134.8000000044703
35,6,Negative Urgency,3,4551.29999999702
35,7,Perseverance,1,3366.8000000044703
35,8,Negative Urgency,3,5999.10000000149
35,9,Sensation Seeking,1,3847.10000000149
35,10,Positive Urgency,1,4030.400000005961
35,11,Perseverance,4,3935
35,12,Premeditation,3,5462.89999999851
35,13,Negative Urgency,1,12030.69999999553
35,14,Sensation Seeking,2,4671.10000000149
35,15,Negative Urgency,2,5334.79999999702
35,16,Sensation Seeking,1,3007
35,17,Positive Urgency,1,5735
35,18,Sensation Seeking,1,4151
35,19,Premeditation,1,4070.70000000298
35,20,Positive Urgency,1,6655.29999999702
