subject_ID,block_number,trial_number,phase,response_number,key,rt
133,2,2,delay,1,space,283
133,3,13,delay,1,space,305
133,4,9,delay,1,space,272
133,4,11,delay,1,space,337
133,4,13,delay,1,space,283
133,4,15,delay,1,space,308
133,4,17,delay,1,space,253
133,4,27,delay,1,space,766
133,4,29,delay,1,space,90
133,4,37,delay,1,space,281
133,4,47,delay,1,space,263
133,4,51,delay,1,space,309
133,5,1,delay,1,space,326
133,5,3,delay,1,space,960
133,5,7,delay,1,space,307
133,5,9,delay,1,space,280
133,5,11,delay,1,space,1383
133,5,15,delay,1,space,268
133,5,17,delay,1,space,266
133,5,23,delay,1,space,289
133,5,33,delay,1,space,292
133,5,39,delay,1,space,245
133,5,43,delay,1,space,269
133,5,51,delay,1,space,267
133,6,7,delay,1,space,281
133,6,15,delay,1,space,253
133,6,27,delay,1,space,285
133,6,37,delay,1,space,237
133,6,41,delay,1,space,295
133,6,45,delay,1,space,273
133,6,47,delay,1,space,254
