subject_ID,question_number,factor,resp,rt
98,1,Perseverance,2,7432.40000000014
98,2,Premeditation,3,4685.40000000014
98,3,Positive Urgency,2,8632.40000000014
98,4,Perseverance,1,4007.3000000000466
98,5,Premeditation,1,7778.300000000047
98,6,Negative Urgency,4,11489.5
98,7,Perseverance,1,6003.5
98,8,Negative Urgency,3,6118.100000000093
98,9,Sensation Seeking,3,5121.199999999953
98,10,Positive Urgency,1,4777.40000000014
98,11,Perseverance,3,3934.8000000000466
98,12,Premeditation,1,4828.300000000047
98,13,Negative Urgency,4,7729.800000000047
98,14,Sensation Seeking,3,7251.399999999907
98,15,Negative Urgency,4,6001.600000000093
98,16,Sensation Seeking,1,6002.5
98,17,Positive Urgency,1,10096.5
98,18,Sensation Seeking,3,5887
98,19,Premeditation,2,10102
98,20,Positive Urgency,2,4735.40000000014
