subject_ID,question_number,factor,resp,rt
70,1,Perseverance,2,3003.900000095367
70,2,Premeditation,3,3838
70,3,Positive Urgency,3,3017.599999904633
70,4,Perseverance,3,2367.099999904633
70,5,Premeditation,3,5298.600000143051
70,6,Negative Urgency,3,3280.7000000476837
70,7,Perseverance,3,2964
70,8,Negative Urgency,4,3737.899999856949
70,9,Sensation Seeking,3,2106.7000000476837
70,10,Positive Urgency,2,3547.599999904633
70,11,Perseverance,3,1590.6999998092651
70,12,Premeditation,2,4195.299999952316
70,13,Negative Urgency,4,2342.600000143051
70,14,Sensation Seeking,3,2422.099999904633
70,15,Negative Urgency,4,3746.600000143051
70,16,Sensation Seeking,4,4801.200000047684
70,17,Positive Urgency,2,3099.199999809265
70,18,Sensation Seeking,2,2542.400000095367
70,19,Premeditation,3,2419.099999904633
70,20,Positive Urgency,4,3380.399999856949
