subject_ID,question_number,factor,resp,rt
18,1,Perseverance,1,5528
18,2,Premeditation,2,3444.70000000298
18,3,Positive Urgency,2,4723.79999999702
18,4,Perseverance,2,3238.79999999702
18,5,Premeditation,1,5713.4000000059605
18,6,Negative Urgency,2,5535.29999999702
18,7,Perseverance,1,5739
18,8,Negative Urgency,2,7263.09999999404
18,9,Sensation Seeking,3,3744.900000005961
18,10,Positive Urgency,2,5320.5
18,11,Perseverance,1,3239.4000000059605
18,12,Premeditation,2,4606.29999999702
18,13,Negative Urgency,2,8125.59999999404
18,14,Sensation Seeking,3,8666.300000011921
18,15,Negative Urgency,2,4658
18,16,Sensation Seeking,4,3738.1000000089407
18,17,Positive Urgency,1,5353.29999999702
18,18,Sensation Seeking,3,3790.29999999702
18,19,Premeditation,2,4863.29999999702
18,20,Positive Urgency,2,4655.5
