subject_ID,question_number,factor,resp,rt
42,1,Perseverance,1,4440.400000035763
42,2,Premeditation,1,2640.099999964237
42,3,Positive Urgency,2,5164.5
42,4,Perseverance,2,2440.399999976158
42,5,Premeditation,1,4312.699999988079
42,6,Negative Urgency,2,4694.100000023842
42,7,Perseverance,1,2386.900000035763
42,8,Negative Urgency,1,6577.899999976158
42,9,Sensation Seeking,2,2582.100000023842
42,10,Positive Urgency,2,3160.899999976158
42,11,Perseverance,2,2816.600000023842
42,12,Premeditation,2,3880.399999976158
42,13,Negative Urgency,3,3574
42,14,Sensation Seeking,3,10293.899999976158
42,15,Negative Urgency,1,2578.5
42,16,Sensation Seeking,3,5061.899999976158
42,17,Positive Urgency,1,3367.399999976158
42,18,Sensation Seeking,2,3991.699999988079
42,19,Premeditation,1,3006.100000023842
42,20,Positive Urgency,2,6500.299999952316
