subject_ID,question_number,factor,resp,rt
132,1,Perseverance,1,8515.800000011921
132,2,Premeditation,1,5267.5
132,3,Positive Urgency,1,9828.900000035765
132,4,Perseverance,2,6862.699999988079
132,5,Premeditation,1,7945.300000011921
132,6,Negative Urgency,1,6678.599999964237
132,7,Perseverance,2,7361.5
132,8,Negative Urgency,1,8362.5
132,9,Sensation Seeking,3,14358.19999998808
132,10,Positive Urgency,1,10166.5
132,11,Perseverance,2,8426.900000035763
132,12,Premeditation,1,6999.899999976158
132,13,Negative Urgency,2,6130.5
132,14,Sensation Seeking,3,7395.100000023842
132,15,Negative Urgency,1,6641.899999976158
132,16,Sensation Seeking,3,6011.199999988079
132,17,Positive Urgency,2,6595.899999976158
132,18,Sensation Seeking,3,8013.5
132,19,Premeditation,1,5591.199999988079
132,20,Positive Urgency,2,5799.899999976158
