subject_ID,question_number,factor,resp,rt
121,1,Perseverance,1,6719.299999952316
121,2,Premeditation,2,8403
121,3,Positive Urgency,3,7430.599999904633
121,4,Perseverance,1,4274.599999904633
121,5,Premeditation,2,4545.600000143051
121,6,Negative Urgency,3,6801.700000047684
121,7,Perseverance,1,4074.399999856949
121,8,Negative Urgency,2,8249.199999809265
121,9,Sensation Seeking,3,4708.5
121,10,Positive Urgency,2,4798.5
121,11,Perseverance,1,3197.599999904633
121,12,Premeditation,2,5956.300000190735
121,13,Negative Urgency,3,4326.200000047684
121,14,Sensation Seeking,3,6217.900000095367
121,15,Negative Urgency,4,5463.299999952316
121,16,Sensation Seeking,4,4275.400000095367
121,17,Positive Urgency,3,5140.100000143051
121,18,Sensation Seeking,3,3972.299999952316
121,19,Premeditation,2,4538.800000190735
121,20,Positive Urgency,3,4145.5
