subject_ID,question_number,factor,resp,rt
122,1,Perseverance,1,3189.2000000476837
122,2,Premeditation,1,2065.600000143051
122,3,Positive Urgency,2,3402.100000143051
122,4,Perseverance,2,2477.7999999523163
122,5,Premeditation,2,1932.2000000476835
122,6,Negative Urgency,2,5596.799999952316
122,7,Perseverance,2,3768.799999952316
122,8,Negative Urgency,3,6964
122,9,Sensation Seeking,2,1933.5
122,10,Positive Urgency,2,1819.2000000476835
122,11,Perseverance,2,2574.400000095367
122,12,Premeditation,1,2418.599999904633
122,13,Negative Urgency,1,2629.7999999523163
122,14,Sensation Seeking,3,3454.7999999523163
122,15,Negative Urgency,2,2300.400000095367
122,16,Sensation Seeking,2,2059.7000000476837
122,17,Positive Urgency,1,4168.299999952316
122,18,Sensation Seeking,3,4749
122,19,Premeditation,2,2124.599999904633
122,20,Positive Urgency,2,1679.2000000476835
