subject_ID,question_number,factor,resp,rt
57,1,Perseverance,1,8120.300000011921
57,2,Premeditation,1,3415.300000011921
57,3,Positive Urgency,1,42022.5
57,4,Perseverance,3,4370.300000011921
57,5,Premeditation,1,9328.599999964235
57,6,Negative Urgency,3,6142
57,7,Perseverance,3,18311.799999952316
57,8,Negative Urgency,3,38296.39999997616
57,9,Sensation Seeking,1,4878.100000023842
57,10,Positive Urgency,2,4159.100000023842
57,11,Perseverance,3,14115.099999964235
57,12,Premeditation,2,11104.599999964235
57,13,Negative Urgency,1,4920.399999976158
57,14,Sensation Seeking,2,4368.5
57,15,Negative Urgency,2,34512.80000001192
57,16,Sensation Seeking,1,5933.399999976158
57,17,Positive Urgency,1,16144.600000023842
57,18,Sensation Seeking,3,11527.19999998808
57,19,Premeditation,1,2646.300000011921
57,20,Positive Urgency,1,9749.799999952316
