subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
35,46,female,American,practice_game1,1,1,practice,na,1614,mixed,j,1296,win,0,0,0,0,0,0,na,na,0,na,na
35,46,female,American,practice_game1,1,2,practice,na,2614,mixed,f,1344,win,0,0,0,0,0,0,na,na,0,na,na
35,46,female,American,practice_game1,1,3,practice,na,1182,mixed,j,719,loss,0,0,0,0,0,0,na,na,0,na,na
35,46,female,American,practice_game1,1,4,practice,na,947,mixed,f,624,loss,0,0,0,0,0,0,na,na,0,na,na
35,46,female,American,practice_game2,2,1,practice,na,0,na,na,0,na,0,1945,0.6,10,0.4,40,LP-HP,j,2415,HP,no-win
35,46,female,American,practice_game2,2,2,practice,na,0,na,na,0,na,0,1060,0.8,50,0.4,20,HP-LP,f,944,HP,win
35,46,female,American,practice_game2,2,3,practice,na,0,na,na,0,na,0,1270,0.7,10,0.3,50,HP-LP,f,896,HP,win
35,46,female,American,practice_game2,2,4,practice,na,0,na,na,0,na,0,1407,0.8,20,0.2,30,LP-HP,j,832,HP,win
35,46,female,American,practice_game2,2,5,practice,na,0,na,na,0,na,0,975,0.8,10,0.2,20,HP-LP,f,656,HP,win
35,46,female,American,exp,3,2,exp,no,2735,mixed,j,671,win,0,852,0.6,10,0.4,40,LP-HP,f,927,LP,no-win
35,46,female,American,exp,3,4,exp,no,1142,mixed,f,1056,loss,0,1145,0.6,10,0.4,40,LP-HP,j,1360,HP,no-win
35,46,female,American,exp,3,6,exp,no,844,mixed,j,752,win,0,815,0.8,10,0.2,20,LP-HP,j,752,HP,win
35,46,female,American,exp,3,8,exp,yes,727,mixed,j,1936,loss,0,1057,0.6,20,0.4,50,HP-LP,f,847,HP,win
35,46,female,American,exp,3,10,catch,yes,1206,mixed,j,912,win,0,1265,0.8,0,0.3,20,HP-LP,f,752,HP,win
35,46,female,American,exp,3,12,exp,no,10792,mixed,j,815,loss,0,928,0.8,20,0.2,30,LP-HP,j,768,HP,win
35,46,female,American,exp,3,14,exp,no,945,mixed,j,848,loss,0,1530,0.7,20,0.3,30,HP-LP,f,736,HP,win
35,46,female,American,exp,3,16,exp,no,863,mixed,j,832,loss,0,895,0.6,30,0.4,50,HP-LP,f,768,HP,win
35,46,female,American,exp,3,18,exp,yes,894,mixed,j,784,win,0,804,0.7,10,0.3,30,LP-HP,j,656,HP,win
35,46,female,American,exp,3,20,exp,no,830,mixed,j,880,loss,0,704,0.7,20,0.3,30,LP-HP,j,944,HP,no-win
35,46,female,American,exp,3,22,exp,yes,1070,mixed,f,463,win,0,799,0.8,10,0.2,20,HP-LP,f,815,HP,win
35,46,female,American,exp,3,24,catch,yes,805,mixed,f,623,win,0,792,0.6,0,0.2,40,LP-HP,j,672,HP,no-win
