subject_ID,block_number,trial_number,phase,response_number,key,rt
58,3,27,delay,1,space,290
58,3,29,delay,1,space,299
58,3,31,delay,1,space,296
58,3,37,delay,1,space,362
58,3,37,delay,2,space,1046
58,3,41,delay,1,space,304
58,3,45,delay,1,space,73
58,3,47,delay,1,space,222
58,3,49,delay,1,space,322
58,4,9,delay,1,space,372
58,4,13,delay,1,space,371
58,4,13,delay,2,space,956
58,4,25,delay,1,space,286
58,4,25,delay,2,space,790
58,4,25,delay,3,space,1324
58,4,29,delay,1,space,407
58,4,31,delay,1,space,331
58,4,35,delay,1,j,369
58,4,35,delay,2,space,474
58,4,41,delay,1,space,256
58,4,49,delay,1,space,274
58,4,51,delay,1,space,300
58,5,1,delay,1,space,252
58,5,1,delay,2,space,907
58,5,7,delay,1,space,298
58,5,7,delay,2,space,982
58,5,7,delay,3,space,1699
58,5,11,delay,1,space,300
58,5,13,delay,1,space,366
58,5,13,delay,2,space,1675
58,5,15,delay,1,space,303
58,5,19,delay,1,space,285
58,5,19,delay,2,space,852
58,5,21,delay,1,space,271
58,5,23,delay,1,space,264
58,5,25,delay,1,space,266
58,5,27,delay,1,space,265
58,5,29,delay,1,space,263
58,5,29,delay,2,space,650
58,5,29,delay,3,space,1054
58,5,29,delay,4,space,2311
58,5,31,delay,1,space,438
58,5,37,delay,1,space,894
58,5,39,delay,1,space,258
58,5,41,delay,1,space,235
58,5,41,delay,2,space,631
58,5,43,delay,1,space,310
58,5,45,delay,1,space,278
58,5,49,delay,1,space,299
58,5,51,delay,1,space,533
58,5,51,delay,2,space,2455
58,6,5,delay,1,space,266
58,6,7,delay,1,space,337
58,6,7,delay,2,space,792
58,6,7,delay,3,space,1457
58,6,9,delay,1,space,331
58,6,9,delay,2,space,1703
58,6,11,delay,1,space,274
58,6,13,delay,1,space,341
58,6,17,delay,1,space,252
58,6,17,delay,2,space,598
58,6,17,delay,3,space,901
58,6,17,delay,4,space,1654
58,6,21,delay,1,space,595
58,6,31,delay,1,space,280
58,6,33,delay,1,space,592
58,6,37,delay,1,space,300
58,6,39,delay,1,space,360
58,6,43,delay,1,space,283
