subject_ID,question_number,factor,resp,rt
114,1,Perseverance,2,13839
114,2,Premeditation,1,3004
114,3,Positive Urgency,3,3151
114,4,Perseverance,2,2836
114,5,Premeditation,2,1356
114,6,Negative Urgency,2,1520
114,7,Perseverance,2,2509
114,8,Negative Urgency,2,2495
114,9,Sensation Seeking,3,2141
114,10,Positive Urgency,2,3370
114,11,Perseverance,3,1327
114,12,Premeditation,2,1371
114,13,Negative Urgency,3,1353
114,14,Sensation Seeking,2,1901
114,15,Negative Urgency,3,1271
114,16,Sensation Seeking,2,1862
114,17,Positive Urgency,2,2482
114,18,Sensation Seeking,2,3554
114,19,Premeditation,2,9371
114,20,Positive Urgency,3,1735
