subject_ID,question_number,factor,resp,rt
51,1,Perseverance,2,9067
51,2,Premeditation,2,4055
51,3,Positive Urgency,2,7427
51,4,Perseverance,2,5396
51,5,Premeditation,2,5656
51,6,Negative Urgency,2,4826
51,7,Perseverance,2,14733
51,8,Negative Urgency,1,8627
51,9,Sensation Seeking,3,3643
51,10,Positive Urgency,1,4093
51,11,Perseverance,2,3169
51,12,Premeditation,2,2660
51,13,Negative Urgency,1,3208
51,14,Sensation Seeking,3,25496
51,15,Negative Urgency,2,7998
51,16,Sensation Seeking,4,4552
51,17,Positive Urgency,3,38627
51,18,Sensation Seeking,4,20106
51,19,Premeditation,2,2403
51,20,Positive Urgency,2,4061
