subject_ID,question_number,factor,resp,rt
104,1,Perseverance,2,5375.899999991059
104,2,Premeditation,2,5498.70000000298
104,3,Positive Urgency,2,4847.4000000059605
104,4,Perseverance,2,5276
104,5,Premeditation,2,6584.199999988079
104,6,Negative Urgency,3,6297.70000000298
104,7,Perseverance,2,5092.70000000298
104,8,Negative Urgency,4,11096.59999999404
104,9,Sensation Seeking,2,5054.5
104,10,Positive Urgency,3,5373.79999999702
104,11,Perseverance,3,3269.5
104,12,Premeditation,2,4805.5999999940395
104,13,Negative Urgency,2,5650.70000000298
104,14,Sensation Seeking,2,4554.199999988079
104,15,Negative Urgency,2,4447.899999991059
104,16,Sensation Seeking,1,3304.5
104,17,Positive Urgency,1,6718.20000000298
104,18,Sensation Seeking,3,5024.70000000298
104,19,Premeditation,2,5552.5999999940395
104,20,Positive Urgency,2,2793.0999999940395
