subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
125,24,male,German,practice_game1,1,1,practice,na,1749,mixed,f,2759,win,0,0,0,0,0,0,na,na,0,na,na
125,24,male,German,practice_game1,1,2,practice,na,1167,mixed,f,1039,loss,0,0,0,0,0,0,na,na,0,na,na
125,24,male,German,practice_game1,1,3,practice,na,590,mixed,f,440,win,0,0,0,0,0,0,na,na,0,na,na
125,24,male,German,practice_game1,1,4,practice,na,479,mixed,f,512,loss,0,0,0,0,0,0,na,na,0,na,na
125,24,male,German,practice_game2,2,1,practice,na,0,na,na,0,na,0,1089,0.7,10,0.3,50,LP-HP,f,3255,LP,no-win
125,24,male,German,practice_game2,2,2,practice,na,0,na,na,0,na,0,689,0.8,20,0.2,30,HP-LP,f,2608,HP,no-win
125,24,male,German,practice_game2,2,3,practice,na,0,na,na,0,na,0,576,0.6,10,0.4,40,HP-LP,j,2040,LP,no-win
125,24,male,German,practice_game2,2,4,practice,na,0,na,na,0,na,0,388,0.8,10,0.2,20,LP-HP,j,1575,HP,win
125,24,male,German,practice_game2,2,5,practice,na,0,na,na,0,na,0,545,0.8,50,0.4,20,HP-LP,f,1735,HP,win
125,24,male,German,exp,3,2,exp,yes,1142,mixed,f,1087,win,0,553,0.6,40,0.4,50,LP-HP,j,1791,HP,win
125,24,male,German,exp,3,4,catch,yes,1013,mixed,f,656,win,0,489,0.7,0,0.4,30,HP-LP,j,2423,LP,no-win
125,24,male,German,exp,3,6,exp,no,804,mixed,f,567,loss,0,1185,0.8,20,0.2,30,HP-LP,f,1935,HP,win
125,24,male,German,exp,3,8,exp,yes,551,mixed,f,823,loss,1,393,0.6,40,0.4,50,LP-HP,f,1944,LP,win
125,24,male,German,exp,3,10,exp,no,1112,mixed,f,759,win,0,585,0.6,10,0.4,40,LP-HP,f,2695,LP,no-win
125,24,male,German,exp,3,12,catch,yes,320,mixed,f,696,loss,1,608,0.8,40,0.2,20,HP-LP,f,927,HP,win
125,24,male,German,exp,3,14,exp,yes,551,mixed,f,872,loss,1,417,0.6,20,0.4,50,HP-LP,j,3199,LP,no-win
125,24,male,German,exp,3,16,exp,no,3888,mixed,f,544,win,0,569,0.7,30,0.3,40,HP-LP,f,400,HP,win
125,24,male,German,exp,3,18,exp,yes,719,mixed,f,375,loss,1,529,0.7,30,0.3,40,LP-HP,j,1391,HP,win
125,24,male,German,exp,3,20,exp,no,742,mixed,f,1015,win,0,480,0.6,40,0.4,50,LP-HP,j,1328,HP,win
125,24,male,German,exp,3,22,exp,yes,415,mixed,f,1167,win,1,526,0.6,20,0.4,50,HP-LP,j,1559,LP,no-win
125,24,male,German,exp,3,24,catch,yes,387,mixed,f,607,loss,1,665,0.8,0,0.3,20,LP-HP,f,1624,LP,no-win
125,24,male,German,exp,3,26,exp,yes,728,mixed,f,872,win,0,586,0.8,20,0.2,30,HP-LP,f,1407,HP,no-win
125,24,male,German,exp,3,28,exp,no,575,mixed,f,855,win,0,1146,0.8,20,0.2,30,HP-LP,f,1559,HP,win
125,24,male,German,exp,3,30,exp,no,527,mixed,f,720,win,0,2769,0.6,30,0.4,50,HP-LP,j,2391,LP,no-win
125,24,male,German,exp,3,32,exp,no,1079,mixed,f,1192,loss,0,770,0.7,30,0.3,40,HP-LP,f,1544,HP,no-win
125,24,male,German,exp,3,34,exp,no,537,mixed,f,744,win,0,305,0.6,40,0.4,50,HP-LP,j,1383,LP,win
125,24,male,German,exp,3,36,exp,no,334,mixed,f,800,loss,0,946,0.8,20,0.2,30,LP-HP,j,1224,HP,win
125,24,male,German,exp,3,38,exp,no,591,mixed,f,623,win,0,330,0.7,10,0.3,50,LP-HP,f,1719,LP,win
125,24,male,German,exp,3,40,exp,no,615,mixed,f,367,win,1,449,0.7,10,0.3,30,LP-HP,f,1831,LP,no-win
125,24,male,German,exp,3,42,catch,no,351,mixed,f,536,loss,1,410,0.8,0,0.3,20,HP-LP,j,1335,LP,no-win
