subject_ID,question_number,factor,resp,rt
23,1,Perseverance,1,5938
23,2,Premeditation,1,5284
23,3,Positive Urgency,2,7405
23,4,Perseverance,1,4070
23,5,Premeditation,2,3829
23,6,Negative Urgency,2,4806
23,7,Perseverance,2,4269
23,8,Negative Urgency,2,7222
23,9,Sensation Seeking,2,3581
23,10,Positive Urgency,1,4262
23,11,Perseverance,1,2702
23,12,Premeditation,2,3101
23,13,Negative Urgency,2,4158
23,14,Sensation Seeking,3,4981
23,15,Negative Urgency,2,5125
23,16,Sensation Seeking,2,4509
23,17,Positive Urgency,1,5668
23,18,Sensation Seeking,2,4470
23,19,Premeditation,1,3980
23,20,Positive Urgency,1,3685
