subject_ID,question_number,factor,resp,rt
40,1,Perseverance,2,27265.89999999851
40,2,Premeditation,2,1278.2999999970198
40,3,Positive Urgency,3,2763.39999999851
40,4,Perseverance,2,12301.10000000149
40,5,Premeditation,2,1407.2000000029802
40,6,Negative Urgency,3,1151.10000000149
40,7,Perseverance,1,1666.7000000029802
40,8,Negative Urgency,2,2781.6999999955297
40,9,Sensation Seeking,3,1196.89999999851
40,10,Positive Urgency,2,1666
40,11,Perseverance,2,1028.2000000029802
40,12,Premeditation,2,1219.2999999970198
40,13,Negative Urgency,2,1983.5999999940395
40,14,Sensation Seeking,3,1400.10000000149
40,15,Negative Urgency,3,1662.89999999851
40,16,Sensation Seeking,1,2206.89999999851
40,17,Positive Urgency,3,1068.39999999851
40,18,Sensation Seeking,2,2075.8000000044703
40,19,Premeditation,2,1378.39999999851
40,20,Positive Urgency,2,1356.5
