subject_ID,block_number,trial_number,phase,response_number,key,rt
83,3,13,delay,1,space,461
83,3,17,delay,1,space,388
83,3,29,delay,1,space,164
83,3,31,delay,1,space,700
83,3,31,delay,2,space,1436
83,3,31,delay,3,space,1780
83,3,31,delay,4,space,2523
83,3,39,delay,1,space,285
83,3,41,delay,1,space,275
83,3,43,delay,1,space,459
83,3,43,delay,2,space,971
83,3,45,delay,1,space,12
83,4,7,delay,1,space,98
83,4,7,delay,2,space,1010
83,4,9,delay,1,space,347
83,4,17,delay,1,space,1674
83,4,21,delay,1,space,147
83,4,21,delay,2,space,2371
83,4,23,delay,1,space,322
83,4,23,delay,2,space,2795
83,4,25,delay,1,space,281
83,4,29,delay,1,space,363
83,4,29,delay,2,space,731
83,4,29,delay,3,space,1131
83,4,29,delay,4,space,2076
83,4,31,delay,1,space,323
83,4,33,delay,1,space,322
83,5,1,delay,1,space,270
83,5,5,delay,1,space,298
83,5,5,delay,2,space,1681
83,5,19,delay,1,space,920
83,5,19,delay,2,space,1546
83,5,21,delay,1,space,240
83,5,21,delay,2,space,1000
83,5,21,delay,3,space,2975
83,5,23,delay,1,space,296
83,5,23,delay,2,space,783
83,5,23,delay,3,space,1222
83,5,23,delay,4,space,1624
83,5,23,delay,5,space,2439
83,5,29,delay,1,space,799
83,5,29,delay,2,space,1320
83,5,29,delay,3,space,2191
83,5,31,delay,1,space,200
83,5,31,delay,2,space,512
83,5,31,delay,3,space,1792
83,5,33,delay,1,space,262
83,5,33,delay,2,space,975
83,5,33,delay,3,space,2262
83,5,35,delay,1,space,383
83,5,35,delay,2,space,807
83,5,35,delay,3,space,1136
83,5,35,delay,4,space,2528
83,5,39,delay,1,space,174
83,5,39,delay,2,space,471
83,5,39,delay,3,space,992
83,5,45,delay,1,space,239
83,5,45,delay,2,space,735
83,5,45,delay,3,space,1111
83,5,45,delay,4,space,1503
83,5,45,delay,5,space,2295
83,5,47,delay,1,space,1157
83,6,15,delay,1,space,685
83,6,15,delay,2,space,2396
83,6,17,delay,1,space,583
83,6,21,delay,1,space,558
83,6,25,delay,1,space,389
83,6,25,delay,2,space,1757
83,6,35,delay,1,space,221
83,6,35,delay,2,space,1037
83,6,35,delay,3,space,1901
83,6,35,delay,4,space,2270
83,6,49,delay,1,space,453
